timestamp(dd-mm-yyyy hh:mm:ss:ms),responseIP,latency(ms),traceroute_ips,traceroute_hnames,hop count,Content-Type,Content-Length,Connection,Date,Last-Modified,ETag,x-amz-storage-class,x-amz-server-side-encryption,x-amz-meta-dv-checksum-sha-1,x-amz-meta-dv-checksum-md5,x-amz-meta-dv-checksum-sha-256,Accept-Ranges,Server,X-Server-IP,X-Server-IP_hops,X-Server-IP_hnames,X-Server-IP_hopcount,X-Cache,Via,X-Amz-Cf-Pop,X-Amz-Cf-Id,Age,url,info,reasponseHeaders
24-06-2023_13:26:48:501625,54.182.218.101,14.417905011214316,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.162', '*', '*', '*', '*', '*', '*', '*', '54.182.218.101']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.162', '*', '*', '*', '*', '*', '*', '*', '54.182.218.101']",20,text/html,915,keep-alive,"Sat, 24 Jun 2023 11:26:48 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 047272b0a99d8e9c1719e2272996d676.cloudfront.net (CloudFront),FRA51-M1,ydmUhkebkvBUVHKoupwX98DfWUVHAL-_v7yXoDHHbHKzQgchnuRMxw==, ,https://a151avoddashs3ww-a.akamaihd.net/d/2$I8NEu5xGZkBp5HuZPS1l2GptMeI~/ondemand/ww_dub/616c/fd3a/7321/45f3-a233-32b1b3cba8c7/f5ed2b52-ba5b-4713-91d9-e56f4dd60c36_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Sat, 24 Jun 2023 11:26:48 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 047272b0a99d8e9c1719e2272996d676.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'FRA51-M1', 'X-Amz-Cf-Id': 'ydmUhkebkvBUVHKoupwX98DfWUVHAL-_v7yXoDHHbHKzQgchnuRMxw=='}"
24-06-2023_13:28:05:196810,54.182.220.122,14.323941082693636,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.194', '*', '*', '*', '*', '*', '*', '*', '54.182.220.122']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.194', '*', '*', '*', '*', '*', '*', '*', '54.182.220.122']",20,text/html,915,keep-alive,"Sat, 24 Jun 2023 11:28:05 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 1d82b3c330341c06c30d99275e729670.cloudfront.net (CloudFront),FRA54-M3,5pF3rTNgUJVbIkBupz2ZnYtS_LwZ3HgFJaV-5Z3bXqqD9xkCtCWSRw==, ,https://a151avoddashs3ww-a.akamaihd.net/d/2$I8NEu5xGZkBp5HuZPS1l2GptMeI~/ondemand/ww_dub/616c/fd3a/7321/45f3-a233-32b1b3cba8c7/f5ed2b52-ba5b-4713-91d9-e56f4dd60c36_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Sat, 24 Jun 2023 11:28:05 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 1d82b3c330341c06c30d99275e729670.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'FRA54-M3', 'X-Amz-Cf-Id': '5pF3rTNgUJVbIkBupz2ZnYtS_LwZ3HgFJaV-5Z3bXqqD9xkCtCWSRw=='}"
24-06-2023_13:29:24:562225,54.182.219.121,15.431296080350876,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.194', '*', '*', '*', '*', '*', '*', '*', '54.182.219.121']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.194', '*', '*', '*', '*', '*', '*', '*', '54.182.219.121']",20,text/html,915,keep-alive,"Sat, 24 Jun 2023 11:29:24 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 10ce024725931846acd67e3bfbb99876.cloudfront.net (CloudFront),FRA52-M2,U3umZp6cMwyxp1i-52YYEtdNCDFO47wmYathG1Z0VcpDa9D17MYceA==, ,https://a151avoddashs3ww-a.akamaihd.net/d/2$I8NEu5xGZkBp5HuZPS1l2GptMeI~/ondemand/ww_dub/616c/fd3a/7321/45f3-a233-32b1b3cba8c7/f5ed2b52-ba5b-4713-91d9-e56f4dd60c36_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Sat, 24 Jun 2023 11:29:24 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 10ce024725931846acd67e3bfbb99876.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'FRA52-M2', 'X-Amz-Cf-Id': 'U3umZp6cMwyxp1i-52YYEtdNCDFO47wmYathG1Z0VcpDa9D17MYceA=='}"
24-06-2023_13:31:10:109917,54.240.131.114,160.0954020395875,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.142.246.130', '15.230.28.25', '15.230.28.129', '*', '*', '*', '*', '*', '54.240.131.114']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.142.246.130', '15.230.28.25', '15.230.28.129', '*', '*', '*', '*', '*', '54.240.131.114']",26,text/html,915,keep-alive,"Sat, 24 Jun 2023 11:31:10 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 2ae7c3a5c2e20ffe5d477386ef8eb520.cloudfront.net (CloudFront),SFO50-M3,BfFfMpCtShchst6uBS34jZ35pFYiaOYKaKDD0I3vLyWZQDeH6pdIGA==, ,https://a151avoddashs3ww-a.akamaihd.net/d/2$I8NEu5xGZkBp5HuZPS1l2GptMeI~/ondemand/ww_dub/616c/fd3a/7321/45f3-a233-32b1b3cba8c7/f5ed2b52-ba5b-4713-91d9-e56f4dd60c36_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Sat, 24 Jun 2023 11:31:10 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 2ae7c3a5c2e20ffe5d477386ef8eb520.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'SFO50-M3', 'X-Amz-Cf-Id': 'BfFfMpCtShchst6uBS34jZ35pFYiaOYKaKDD0I3vLyWZQDeH6pdIGA=='}"
24-06-2023_13:33:20:426660,54.240.129.122,163.24803500901908,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.142.246.122', '15.230.28.21', '15.230.28.141', '*', '*', '*', '*', '*', '54.240.129.122']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.142.246.122', '15.230.28.21', '15.230.28.141', '*', '*', '*', '*', '*', '54.240.129.122']",26,text/html,915,keep-alive,"Sat, 24 Jun 2023 11:33:20 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 acd346838c04f7410aa2c0b7c414a5a8.cloudfront.net (CloudFront),SFO5-M1,LqtRHHye73Ad1udVJF24XMbM9iYw2WnjYU1eXZYoh4x-4NF-IaDW7g==, ,https://a151avoddashs3ww-a.akamaihd.net/d/2$I8NEu5xGZkBp5HuZPS1l2GptMeI~/ondemand/ww_dub/616c/fd3a/7321/45f3-a233-32b1b3cba8c7/f5ed2b52-ba5b-4713-91d9-e56f4dd60c36_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Sat, 24 Jun 2023 11:33:20 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 acd346838c04f7410aa2c0b7c414a5a8.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'SFO5-M1', 'X-Amz-Cf-Id': 'LqtRHHye73Ad1udVJF24XMbM9iYw2WnjYU1eXZYoh4x-4NF-IaDW7g=='}"
24-06-2023_13:35:11:803221,54.240.130.99,159.41209497395903,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.88.224.218', '52.93.47.155', '15.230.28.155', '*', '*', '*', '*', '*', '54.240.130.99']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.88.224.218', '52.93.47.155', '15.230.28.155', '*', '*', '*', '*', '*', '54.240.130.99']",26,text/html,915,keep-alive,"Sat, 24 Jun 2023 11:35:12 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 57e165979e10f1e3da862ee93d957e00.cloudfront.net (CloudFront),SFO20-M2,sQZqL03ocOpvY34r60K_KIIgETYxNyBwCWQ9gukTlr9MrCE0XN6fUA==, ,https://a151avoddashs3ww-a.akamaihd.net/d/2$I8NEu5xGZkBp5HuZPS1l2GptMeI~/ondemand/ww_dub/616c/fd3a/7321/45f3-a233-32b1b3cba8c7/f5ed2b52-ba5b-4713-91d9-e56f4dd60c36_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Sat, 24 Jun 2023 11:35:12 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 57e165979e10f1e3da862ee93d957e00.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'SFO20-M2', 'X-Amz-Cf-Id': 'sQZqL03ocOpvY34r60K_KIIgETYxNyBwCWQ9gukTlr9MrCE0XN6fUA=='}"
24-06-2023_13:36:29:389381,54.182.215.109,24.611271102912724,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.126', '130.117.0.18', '154.54.36.53', '130.117.0.121', '149.14.82.82', '54.239.114.82', '*', '*', '*', '*', '*', '*', '54.182.215.109']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.126', '130.117.0.18', '154.54.36.53', '130.117.0.121', '149.14.82.82', '54.239.114.82', '*', '*', '*', '*', '*', '*', '54.182.215.109']",21,text/html,915,keep-alive,"Sat, 24 Jun 2023 11:36:29 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 9d1b37480b84264f97062bdb7dbec144.cloudfront.net (CloudFront),AMS51-M1,Xe-wQKADxnYYyTm2Fo6LHfyaBkAePHxXBDFsfiHScZZCw6JmMvtVXA==, ,https://a151avoddashs3ww-a.akamaihd.net/d/2$I8NEu5xGZkBp5HuZPS1l2GptMeI~/ondemand/ww_dub/616c/fd3a/7321/45f3-a233-32b1b3cba8c7/f5ed2b52-ba5b-4713-91d9-e56f4dd60c36_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Sat, 24 Jun 2023 11:36:29 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 9d1b37480b84264f97062bdb7dbec144.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'AMS51-M1', 'X-Amz-Cf-Id': 'Xe-wQKADxnYYyTm2Fo6LHfyaBkAePHxXBDFsfiHScZZCw6JmMvtVXA=='}"
24-06-2023_13:37:44:307901,54.182.216.113,24.36109900008887,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '130.117.0.141', '149.29.2.2', '52.93.112.8', '*', '*', '*', '*', '*', '*', '54.182.216.113']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '130.117.0.141', '149.29.2.2', '52.93.112.8', '*', '*', '*', '*', '*', '*', '54.182.216.113']",21,text/html,915,keep-alive,"Sat, 24 Jun 2023 11:37:44 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 322564c5af13c9d421c785dda9f7858a.cloudfront.net (CloudFront),AMS52-M2,01WxZ4nzbnVCO5AnzS1Eum3IBS4kiRsj4-laQQWtj1lYCbJ8VZ7DJg==, ,https://a151avoddashs3ww-a.akamaihd.net/d/2$I8NEu5xGZkBp5HuZPS1l2GptMeI~/ondemand/ww_dub/616c/fd3a/7321/45f3-a233-32b1b3cba8c7/f5ed2b52-ba5b-4713-91d9-e56f4dd60c36_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Sat, 24 Jun 2023 11:37:44 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 322564c5af13c9d421c785dda9f7858a.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'AMS52-M2', 'X-Amz-Cf-Id': '01WxZ4nzbnVCO5AnzS1Eum3IBS4kiRsj4-laQQWtj1lYCbJ8VZ7DJg=='}"
24-06-2023_13:39:01:928321,54.182.217.120,24.119007983244956,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '130.117.0.141', '149.29.2.2', '52.93.112.6', '*', '*', '*', '*', '*', '*', '54.182.217.120']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '130.117.0.141', '149.29.2.2', '52.93.112.6', '*', '*', '*', '*', '*', '*', '54.182.217.120']",21,text/html,915,keep-alive,"Sat, 24 Jun 2023 11:39:01 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 a6b59a9be816064a9cd64d3e3403a022.cloudfront.net (CloudFront),AMS53-M3,cyPprbHmhK0sy2DSw0bwDmzZCAWLgQpJz0U0NpTdiMsut6nSTa9RYA==, ,https://a151avoddashs3ww-a.akamaihd.net/d/2$I8NEu5xGZkBp5HuZPS1l2GptMeI~/ondemand/ww_dub/616c/fd3a/7321/45f3-a233-32b1b3cba8c7/f5ed2b52-ba5b-4713-91d9-e56f4dd60c36_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Sat, 24 Jun 2023 11:39:01 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 a6b59a9be816064a9cd64d3e3403a022.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'AMS53-M3', 'X-Amz-Cf-Id': 'cyPprbHmhK0sy2DSw0bwDmzZCAWLgQpJz0U0NpTdiMsut6nSTa9RYA=='}"
24-06-2023_13:40:17:925636,54.182.235.102,20.311174914240837,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.36.165', '154.54.60.170', '149.14.196.218', '*', '*', '*', '*', '*', '*', '*', '54.182.235.102']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.36.165', '154.54.60.170', '149.14.196.218', '*', '*', '*', '*', '*', '*', '*', '54.182.235.102']",19,text/html,915,keep-alive,"Sat, 24 Jun 2023 11:40:17 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 49cab421e6d30aa85de81590b527c046.cloudfront.net (CloudFront),LHR50-M1,7r99MGZ79HjZ-dylaBTeQGqR0770q8Z6LyxPiHF1kcRcATU5zOefHQ==, ,https://a151avoddashs3ww-a.akamaihd.net/d/2$I8NEu5xGZkBp5HuZPS1l2GptMeI~/ondemand/ww_dub/616c/fd3a/7321/45f3-a233-32b1b3cba8c7/f5ed2b52-ba5b-4713-91d9-e56f4dd60c36_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Sat, 24 Jun 2023 11:40:17 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 49cab421e6d30aa85de81590b527c046.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'LHR50-M1', 'X-Amz-Cf-Id': '7r99MGZ79HjZ-dylaBTeQGqR0770q8Z6LyxPiHF1kcRcATU5zOefHQ=='}"
24-06-2023_13:41:29:792751,54.182.171.116,20.07182000670582,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.36.165', '154.54.60.170', '149.14.196.218', '*', '*', '*', '*', '*', '*', '*', '54.182.171.116']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.36.165', '154.54.60.170', '149.14.196.218', '*', '*', '*', '*', '*', '*', '*', '54.182.171.116']",19,text/html,915,keep-alive,"Sat, 24 Jun 2023 11:41:29 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 bcdd82526abc1349f5fc6c2f87fda5d6.cloudfront.net (CloudFront),LHR61-M2,P2llQ77Mxt57KBYD-OfbhrIVHmB9Ddd2HvPvESumTc3gG3esGs4bBA==, ,https://a151avoddashs3ww-a.akamaihd.net/d/2$I8NEu5xGZkBp5HuZPS1l2GptMeI~/ondemand/ww_dub/616c/fd3a/7321/45f3-a233-32b1b3cba8c7/f5ed2b52-ba5b-4713-91d9-e56f4dd60c36_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Sat, 24 Jun 2023 11:41:29 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 bcdd82526abc1349f5fc6c2f87fda5d6.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'LHR61-M2', 'X-Amz-Cf-Id': 'P2llQ77Mxt57KBYD-OfbhrIVHmB9Ddd2HvPvESumTc3gG3esGs4bBA=='}"
24-06-2023_13:42:46:710225,54.182.190.119,20.32431890256703,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.60.174', '149.11.167.138', '*', '*', '*', '*', '*', '*', '*', '54.182.190.119']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.60.174', '149.11.167.138', '*', '*', '*', '*', '*', '*', '*', '54.182.190.119']",19,text/html,915,keep-alive,"Sat, 24 Jun 2023 11:42:46 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 c8c1fa6838847217a9154da1bb45c230.cloudfront.net (CloudFront),LHR62-M3,qZhROeWL1j0eMXQTtC8a1y8zd0fBVuTdFUwC4xnDSnwZ0lx69DQ1zg==, ,https://a151avoddashs3ww-a.akamaihd.net/d/2$I8NEu5xGZkBp5HuZPS1l2GptMeI~/ondemand/ww_dub/616c/fd3a/7321/45f3-a233-32b1b3cba8c7/f5ed2b52-ba5b-4713-91d9-e56f4dd60c36_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Sat, 24 Jun 2023 11:42:46 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 c8c1fa6838847217a9154da1bb45c230.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'LHR62-M3', 'X-Amz-Cf-Id': 'qZhROeWL1j0eMXQTtC8a1y8zd0fBVuTdFUwC4xnDSnwZ0lx69DQ1zg=='}"
24-06-2023_13:44:03:466756,54.182.199.108,21.18703897576779,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.60.174', '149.11.167.138', '*', '*', '*', '*', '*', '*', '*', '54.182.199.108']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.60.174', '149.11.167.138', '*', '*', '*', '*', '*', '*', '*', '54.182.199.108']",19,text/html,915,keep-alive,"Sat, 24 Jun 2023 11:44:03 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 d27a59537193f37a70b3deb6c8d728ec.cloudfront.net (CloudFront),LHR51-M2,ER5iBJZnTIv3Dm5fRhZ2BS_FXh-2v-F5OJna7fbHRZvcCMpV3zvW7w==, ,https://a151avoddashs3ww-a.akamaihd.net/d/2$I8NEu5xGZkBp5HuZPS1l2GptMeI~/ondemand/ww_dub/616c/fd3a/7321/45f3-a233-32b1b3cba8c7/f5ed2b52-ba5b-4713-91d9-e56f4dd60c36_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Sat, 24 Jun 2023 11:44:03 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 d27a59537193f37a70b3deb6c8d728ec.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'LHR51-M2', 'X-Amz-Cf-Id': 'ER5iBJZnTIv3Dm5fRhZ2BS_FXh-2v-F5OJna7fbHRZvcCMpV3zvW7w=='}"
24-06-2023_13:45:16:504360,54.182.200.122,20.286135957576334,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.60.174', '149.11.167.138', '*', '*', '*', '*', '*', '*', '*', '54.182.200.122']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.60.174', '149.11.167.138', '*', '*', '*', '*', '*', '*', '*', '54.182.200.122']",19,text/html,915,keep-alive,"Sat, 24 Jun 2023 11:45:16 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 e1fbf2620cc86fc685240cb64ed2c238.cloudfront.net (CloudFront),LHR52-M3,B5exTWHZ3zao3rQAp7cCpzxDM_Sv6qmy_N6pAn6jcIUeDbazwfvpXA==, ,https://a151avoddashs3ww-a.akamaihd.net/d/2$I8NEu5xGZkBp5HuZPS1l2GptMeI~/ondemand/ww_dub/616c/fd3a/7321/45f3-a233-32b1b3cba8c7/f5ed2b52-ba5b-4713-91d9-e56f4dd60c36_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Sat, 24 Jun 2023 11:45:16 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 e1fbf2620cc86fc685240cb64ed2c238.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'LHR52-M3', 'X-Amz-Cf-Id': 'B5exTWHZ3zao3rQAp7cCpzxDM_Sv6qmy_N6pAn6jcIUeDbazwfvpXA=='}"
24-06-2023_13:46:28:603637,54.182.198.104,20.911416970193386,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.36.165', '154.54.60.170', '149.14.196.218', '*', '*', '*', '*', '*', '*', '*', '54.182.198.104']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.36.165', '154.54.60.170', '149.14.196.218', '*', '*', '*', '*', '*', '*', '*', '54.182.198.104']",19,text/html,915,keep-alive,"Sat, 24 Jun 2023 11:46:28 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 33ba1c21501ce9fbc431c6f5eeeb4ede.cloudfront.net (CloudFront),LHR4-M1,Ui5aHolFOF8cJmNFivEsz0Fiu5_WG37iiiWhQaGY7J2wWtXorhhp6g==, ,https://a151avoddashs3ww-a.akamaihd.net/d/2$I8NEu5xGZkBp5HuZPS1l2GptMeI~/ondemand/ww_dub/616c/fd3a/7321/45f3-a233-32b1b3cba8c7/f5ed2b52-ba5b-4713-91d9-e56f4dd60c36_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Sat, 24 Jun 2023 11:46:28 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 33ba1c21501ce9fbc431c6f5eeeb4ede.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'LHR4-M1', 'X-Amz-Cf-Id': 'Ui5aHolFOF8cJmNFivEsz0Fiu5_WG37iiiWhQaGY7J2wWtXorhhp6g=='}"
