timestamp(dd-mm-yyyy hh:mm:ss:ms),responseIP,latency(ms),traceroute_ips,traceroute_hnames,hop count,Content-Type,Content-Length,Connection,Date,Last-Modified,ETag,x-amz-storage-class,x-amz-server-side-encryption,x-amz-meta-dv-checksum-sha-1,x-amz-meta-dv-checksum-md5,x-amz-meta-dv-checksum-sha-256,Accept-Ranges,Server,X-Server-IP,X-Server-IP_hops,X-Server-IP_hnames,X-Server-IP_hopcount,X-Cache,Via,X-Amz-Cf-Pop,X-Amz-Cf-Id,Age,url,info,reasponseHeaders
22-06-2023_13:50:57:181047,54.182.218.101,9.99154699999849,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '*', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.218.101']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '*', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.218.101']",23,text/html,915,keep-alive,"Thu, 22 Jun 2023 11:50:57 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 1ff08b3b69c8ba8b2d2fa6cadb7cc4ae.cloudfront.net (CloudFront),FRA51-M1,GjoHAUwTIQCvS_i9hYzq3UPVQd0cdS4lqgXtAJnCS3n2lo6i3c_V9w==, ,https://a250avoddashs3ww-a.akamaihd.net/d/2$PwNa-XsZ-5YPhP-QSsj0XQf0cPs~/ondemand/ww_dub/7507/6702/e623/4c5f-8a9b-53b531119058/aa6019ed-bb09-44ce-a82c-5210ab9590d4_video_9.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Thu, 22 Jun 2023 11:50:57 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 1ff08b3b69c8ba8b2d2fa6cadb7cc4ae.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'FRA51-M1', 'X-Amz-Cf-Id': 'GjoHAUwTIQCvS_i9hYzq3UPVQd0cdS4lqgXtAJnCS3n2lo6i3c_V9w=='}"
22-06-2023_13:52:36:096726,54.182.220.122,10.34271800000397,"['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '*', '*', '192.33.209.17', '130.59.38.54', '130.59.37.145', '*', '*', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.220.122']","['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '*', '*', '192.33.209.17', '130.59.38.54', '130.59.37.145', '*', '*', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.220.122']",23,text/html,915,keep-alive,"Thu, 22 Jun 2023 11:52:36 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 5b117a83e543de75f7be0bcfe75331e6.cloudfront.net (CloudFront),FRA54-M3,ul7fsKqLSoh6Ub3p18E_uNuXT___KW1C6DIUNle1womojPXhSxGNkA==, ,https://a250avoddashs3ww-a.akamaihd.net/d/2$PwNa-XsZ-5YPhP-QSsj0XQf0cPs~/ondemand/ww_dub/7507/6702/e623/4c5f-8a9b-53b531119058/aa6019ed-bb09-44ce-a82c-5210ab9590d4_video_9.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Thu, 22 Jun 2023 11:52:36 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 5b117a83e543de75f7be0bcfe75331e6.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'FRA54-M3', 'X-Amz-Cf-Id': 'ul7fsKqLSoh6Ub3p18E_uNuXT___KW1C6DIUNle1womojPXhSxGNkA=='}"
22-06-2023_13:54:15:511216,54.182.219.121,9.973736000006284,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '*', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.219.121']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '*', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.219.121']",23,text/html,915,keep-alive,"Thu, 22 Jun 2023 11:54:15 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 af465805d6940b52537c0b6acf093b8e.cloudfront.net (CloudFront),FRA52-M2,32tuAJ530MfeLb6DnJ07HlV0SV9-0-FbCszyqT5Wi58vfQpCgy_N0w==, ,https://a250avoddashs3ww-a.akamaihd.net/d/2$PwNa-XsZ-5YPhP-QSsj0XQf0cPs~/ondemand/ww_dub/7507/6702/e623/4c5f-8a9b-53b531119058/aa6019ed-bb09-44ce-a82c-5210ab9590d4_video_9.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Thu, 22 Jun 2023 11:54:15 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 af465805d6940b52537c0b6acf093b8e.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'FRA52-M2', 'X-Amz-Cf-Id': '32tuAJ530MfeLb6DnJ07HlV0SV9-0-FbCszyqT5Wi58vfQpCgy_N0w=='}"
22-06-2023_13:56:06:420003,54.240.131.114,156.72683899998674,"['128.178.122.1', '10.0.2.168', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '*', '213.242.73.73', '4.69.133.234', '*', '*', '154.54.82.38', '154.54.0.221', '154.54.29.173', '154.54.7.129', '154.54.44.169', '154.54.31.89', '154.54.42.97', '154.54.44.141', '154.54.43.14', '38.88.224.186', '52.93.47.141', '15.230.28.189', '*', '*', '*', '*']",[],0,text/html,915,keep-alive,"Thu, 22 Jun 2023 11:56:06 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 12a2b1f6465be02397dfe16f86b872f4.cloudfront.net (CloudFront),SFO50-M3,WnOY3FEOr04aXxBv4RMUBl5PbWiavLsyNhsAHfmVKtFeJKnJoitWZw==, ,https://a250avoddashs3ww-a.akamaihd.net/d/2$PwNa-XsZ-5YPhP-QSsj0XQf0cPs~/ondemand/ww_dub/7507/6702/e623/4c5f-8a9b-53b531119058/aa6019ed-bb09-44ce-a82c-5210ab9590d4_video_9.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Thu, 22 Jun 2023 11:56:06 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 12a2b1f6465be02397dfe16f86b872f4.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'SFO50-M3', 'X-Amz-Cf-Id': 'WnOY3FEOr04aXxBv4RMUBl5PbWiavLsyNhsAHfmVKtFeJKnJoitWZw=='}"
22-06-2023_13:58:01:710344,54.240.129.122,157.0020569999997,"['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '*', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '213.242.73.73', '4.69.133.234', '*', '154.54.56.129', '*', '66.28.4.237', '154.54.26.129', '*', '154.54.42.165', '154.54.5.89', '154.54.41.145', '154.54.44.137', '154.54.43.10', '38.142.246.130', '15.230.28.33', '15.230.28.185', '*', '*', '*', '*']",[],0,text/html,915,keep-alive,"Thu, 22 Jun 2023 11:58:02 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 a7fc5f435b53e0bede30c2df30f57b10.cloudfront.net (CloudFront),SFO5-M1,YWHTeUiiOBxeDM1h5J2I6pyr68cg1NyQK2LCeuLVprjCUocnnjMlzA==, ,https://a250avoddashs3ww-a.akamaihd.net/d/2$PwNa-XsZ-5YPhP-QSsj0XQf0cPs~/ondemand/ww_dub/7507/6702/e623/4c5f-8a9b-53b531119058/aa6019ed-bb09-44ce-a82c-5210ab9590d4_video_9.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Thu, 22 Jun 2023 11:58:02 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 a7fc5f435b53e0bede30c2df30f57b10.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'SFO5-M1', 'X-Amz-Cf-Id': 'YWHTeUiiOBxeDM1h5J2I6pyr68cg1NyQK2LCeuLVprjCUocnnjMlzA=='}"
22-06-2023_13:59:52:000044,54.240.130.99,157.02535299999454,"['128.178.122.1', '10.0.2.168', '10.0.2.6', '*', '10.0.2.127', '10.0.2.178', '10.0.2.133', '*', '130.59.36.82', '*', '*', '4.69.133.234', '*', '154.54.57.69', '154.54.82.38', '154.54.0.221', '154.54.29.173', '154.54.7.129', '154.54.44.169', '154.54.31.89', '154.54.42.97', '154.54.44.141', '154.54.43.14', '38.88.224.186', '52.93.47.143', '15.230.28.191', '*', '*', '*', '*']",[],0,text/html,915,keep-alive,"Thu, 22 Jun 2023 11:59:52 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 b9d0f38f93bffa9078652cac23c89974.cloudfront.net (CloudFront),SFO20-M2,2JHbK1WN0oaT0E8t2GyLAgwECRK2_FvL8U-RPayene07wow_pwphZg==, ,https://a250avoddashs3ww-a.akamaihd.net/d/2$PwNa-XsZ-5YPhP-QSsj0XQf0cPs~/ondemand/ww_dub/7507/6702/e623/4c5f-8a9b-53b531119058/aa6019ed-bb09-44ce-a82c-5210ab9590d4_video_9.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Thu, 22 Jun 2023 11:59:52 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 b9d0f38f93bffa9078652cac23c89974.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'SFO20-M2', 'X-Amz-Cf-Id': '2JHbK1WN0oaT0E8t2GyLAgwECRK2_FvL8U-RPayene07wow_pwphZg=='}"
22-06-2023_14:01:27:964805,54.182.215.109,17.628306000005978,"['128.178.122.1', '10.0.2.168', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '80.249.210.217', '*', '*', '*', '*', '*', '*', '*', '54.182.215.109']","['128.178.122.1', '10.0.2.168', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '80.249.210.217', '*', '*', '*', '*', '*', '*', '*', '54.182.215.109']",19,text/html,915,keep-alive,"Thu, 22 Jun 2023 12:01:28 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 1118739a85c119118535ef213783e7e4.cloudfront.net (CloudFront),AMS51-M1,gE5ODrNC-MJuNLHRgSwamQ5bpKiN3MKn77N8mn4eRwOvHWulS5UdVQ==, ,https://a250avoddashs3ww-a.akamaihd.net/d/2$PwNa-XsZ-5YPhP-QSsj0XQf0cPs~/ondemand/ww_dub/7507/6702/e623/4c5f-8a9b-53b531119058/aa6019ed-bb09-44ce-a82c-5210ab9590d4_video_9.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Thu, 22 Jun 2023 12:01:28 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 1118739a85c119118535ef213783e7e4.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'AMS51-M1', 'X-Amz-Cf-Id': 'gE5ODrNC-MJuNLHRgSwamQ5bpKiN3MKn77N8mn4eRwOvHWulS5UdVQ=='}"
22-06-2023_14:03:05:153539,54.182.216.113,17.302419999964513,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '80.249.210.217', '52.93.112.187', '*', '*', '*', '*', '*', '*', '54.182.216.113']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '80.249.210.217', '52.93.112.187', '*', '*', '*', '*', '*', '*', '54.182.216.113']",19,text/html,915,keep-alive,"Thu, 22 Jun 2023 12:03:05 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 adf11e5690cf26744f23e030b448bcce.cloudfront.net (CloudFront),AMS52-M2,Ekt6UT4YoOQRZd3pypX4m8Z7GpXmRpw9oZxanEFyJsu2BDwQqB2_vg==, ,https://a250avoddashs3ww-a.akamaihd.net/d/2$PwNa-XsZ-5YPhP-QSsj0XQf0cPs~/ondemand/ww_dub/7507/6702/e623/4c5f-8a9b-53b531119058/aa6019ed-bb09-44ce-a82c-5210ab9590d4_video_9.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Thu, 22 Jun 2023 12:03:05 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 adf11e5690cf26744f23e030b448bcce.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'AMS52-M2', 'X-Amz-Cf-Id': 'Ekt6UT4YoOQRZd3pypX4m8Z7GpXmRpw9oZxanEFyJsu2BDwQqB2_vg=='}"
22-06-2023_14:04:41:064260,54.182.217.120,17.79212999997526,"['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '*', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '80.249.210.217', '*', '*', '*', '*', '*', '*', '*', '54.182.217.120']","['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '*', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '80.249.210.217', '*', '*', '*', '*', '*', '*', '*', '54.182.217.120']",19,text/html,915,keep-alive,"Thu, 22 Jun 2023 12:04:41 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 3f90b92894e4571f686abef8f8ad9246.cloudfront.net (CloudFront),AMS53-M3,RE6k3KPlG-TeK7sd69Q3ngk08_88iPupkHarqT3DgRZa5Ak1VR5R3A==, ,https://a250avoddashs3ww-a.akamaihd.net/d/2$PwNa-XsZ-5YPhP-QSsj0XQf0cPs~/ondemand/ww_dub/7507/6702/e623/4c5f-8a9b-53b531119058/aa6019ed-bb09-44ce-a82c-5210ab9590d4_video_9.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Thu, 22 Jun 2023 12:04:41 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 3f90b92894e4571f686abef8f8ad9246.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'AMS53-M3', 'X-Amz-Cf-Id': 'RE6k3KPlG-TeK7sd69Q3ngk08_88iPupkHarqT3DgRZa5Ak1VR5R3A=='}"
22-06-2023_14:06:24:108454,54.182.235.102,21.48484700001063,"['128.178.122.1', '10.0.2.168', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '*', '192.33.209.17', '130.59.36.82', '130.59.38.193', '83.97.88.153', '62.40.98.239', '62.40.98.106', '62.40.98.64', '195.66.225.175', '*', '*', '*', '*', '*', '*', '*', '54.182.235.102']","['128.178.122.1', '10.0.2.168', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '*', '192.33.209.17', '130.59.36.82', '130.59.38.193', '83.97.88.153', '62.40.98.239', '62.40.98.106', '62.40.98.64', '195.66.225.175', '*', '*', '*', '*', '*', '*', '*', '54.182.235.102']",23,text/html,915,keep-alive,"Thu, 22 Jun 2023 12:06:24 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 fdcc9b08044ac5ab75ee29c0e9ddaba0.cloudfront.net (CloudFront),LHR50-M1,o6tdobz3J7VBGB8jpfb6ZXRxKejYo4FGQlu4U7i48wQ339qQ1TF1KA==, ,https://a250avoddashs3ww-a.akamaihd.net/d/2$PwNa-XsZ-5YPhP-QSsj0XQf0cPs~/ondemand/ww_dub/7507/6702/e623/4c5f-8a9b-53b531119058/aa6019ed-bb09-44ce-a82c-5210ab9590d4_video_9.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Thu, 22 Jun 2023 12:06:24 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 fdcc9b08044ac5ab75ee29c0e9ddaba0.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'LHR50-M1', 'X-Amz-Cf-Id': 'o6tdobz3J7VBGB8jpfb6ZXRxKejYo4FGQlu4U7i48wQ339qQ1TF1KA=='}"
22-06-2023_14:08:01:593467,54.182.171.116,21.48260300009497,"['128.178.122.1', '10.0.2.168', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '*', '130.59.38.193', '83.97.88.153', '62.40.98.239', '62.40.98.106', '62.40.98.64', '195.66.225.175', '*', '*', '*', '*', '*', '*', '*', '54.182.171.116']","['128.178.122.1', '10.0.2.168', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '*', '130.59.38.193', '83.97.88.153', '62.40.98.239', '62.40.98.106', '62.40.98.64', '195.66.225.175', '*', '*', '*', '*', '*', '*', '*', '54.182.171.116']",23,text/html,915,keep-alive,"Thu, 22 Jun 2023 12:08:01 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 c206698fc5b5347d36cebb4fa1d11dea.cloudfront.net (CloudFront),LHR61-M2,5poH6NXoJksbBcUxPE40w_vO6hyJLlSnHe15cGzBTSQA7mNY4GH1cg==, ,https://a250avoddashs3ww-a.akamaihd.net/d/2$PwNa-XsZ-5YPhP-QSsj0XQf0cPs~/ondemand/ww_dub/7507/6702/e623/4c5f-8a9b-53b531119058/aa6019ed-bb09-44ce-a82c-5210ab9590d4_video_9.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Thu, 22 Jun 2023 12:08:01 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 c206698fc5b5347d36cebb4fa1d11dea.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'LHR61-M2', 'X-Amz-Cf-Id': '5poH6NXoJksbBcUxPE40w_vO6hyJLlSnHe15cGzBTSQA7mNY4GH1cg=='}"
22-06-2023_14:09:39:635369,54.182.190.119,21.20890299988787,"['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '*', '192.33.209.17', '130.59.36.82', '*', '83.97.88.153', '62.40.98.239', '62.40.98.106', '62.40.98.64', '195.66.225.175', '*', '*', '*', '*', '*', '*', '*', '54.182.190.119']","['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '*', '192.33.209.17', '130.59.36.82', '*', '83.97.88.153', '62.40.98.239', '62.40.98.106', '62.40.98.64', '195.66.225.175', '*', '*', '*', '*', '*', '*', '*', '54.182.190.119']",23,text/html,915,keep-alive,"Thu, 22 Jun 2023 12:09:39 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 350a775b34c9e9d244b0361d7be2e2c2.cloudfront.net (CloudFront),LHR62-M3,4NArUEP90a3e6HmlAqrERoPRiiFGR2vdGqf6xsnkd7P8Tqy9fI-www==, ,https://a250avoddashs3ww-a.akamaihd.net/d/2$PwNa-XsZ-5YPhP-QSsj0XQf0cPs~/ondemand/ww_dub/7507/6702/e623/4c5f-8a9b-53b531119058/aa6019ed-bb09-44ce-a82c-5210ab9590d4_video_9.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Thu, 22 Jun 2023 12:09:39 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 350a775b34c9e9d244b0361d7be2e2c2.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'LHR62-M3', 'X-Amz-Cf-Id': '4NArUEP90a3e6HmlAqrERoPRiiFGR2vdGqf6xsnkd7P8Tqy9fI-www=='}"
22-06-2023_14:11:20:661745,54.182.199.108,21.06711900000846,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '*', '130.59.36.82', '130.59.38.193', '83.97.88.153', '62.40.98.239', '62.40.98.106', '62.40.98.64', '195.66.225.175', '*', '*', '*', '*', '*', '*', '*', '54.182.199.108']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '*', '130.59.36.82', '130.59.38.193', '83.97.88.153', '62.40.98.239', '62.40.98.106', '62.40.98.64', '195.66.225.175', '*', '*', '*', '*', '*', '*', '*', '54.182.199.108']",23,text/html,915,keep-alive,"Thu, 22 Jun 2023 12:11:20 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 fa0c7bda670f8a6999f38b6f67516494.cloudfront.net (CloudFront),LHR51-M2,WZxkcvBeRrGKZxbIWArSphbS2u5yRY1hR3lvwavosQpf3jmXTW2yZA==, ,https://a250avoddashs3ww-a.akamaihd.net/d/2$PwNa-XsZ-5YPhP-QSsj0XQf0cPs~/ondemand/ww_dub/7507/6702/e623/4c5f-8a9b-53b531119058/aa6019ed-bb09-44ce-a82c-5210ab9590d4_video_9.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Thu, 22 Jun 2023 12:11:20 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 fa0c7bda670f8a6999f38b6f67516494.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'LHR51-M2', 'X-Amz-Cf-Id': 'WZxkcvBeRrGKZxbIWArSphbS2u5yRY1hR3lvwavosQpf3jmXTW2yZA=='}"
22-06-2023_14:12:59:518187,54.182.200.122,20.795271999986653,"['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '*', '192.33.209.17', '130.59.36.82', '130.59.38.193', '83.97.88.153', '62.40.98.239', '62.40.98.106', '62.40.98.64', '*', '*', '*', '*', '*', '*', '*', '*', '54.182.200.122']","['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '*', '192.33.209.17', '130.59.36.82', '130.59.38.193', '83.97.88.153', '62.40.98.239', '62.40.98.106', '62.40.98.64', '*', '*', '*', '*', '*', '*', '*', '*', '54.182.200.122']",23,text/html,915,keep-alive,"Thu, 22 Jun 2023 12:12:59 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 afef374f4a78807a10ce913115847718.cloudfront.net (CloudFront),LHR52-M3,xvQg7zqp8LtLWn_53FZBUgvtmpWD5RaRiDWWsdNGaMR3XT0bma_Nng==, ,https://a250avoddashs3ww-a.akamaihd.net/d/2$PwNa-XsZ-5YPhP-QSsj0XQf0cPs~/ondemand/ww_dub/7507/6702/e623/4c5f-8a9b-53b531119058/aa6019ed-bb09-44ce-a82c-5210ab9590d4_video_9.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Thu, 22 Jun 2023 12:12:59 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 afef374f4a78807a10ce913115847718.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'LHR52-M3', 'X-Amz-Cf-Id': 'xvQg7zqp8LtLWn_53FZBUgvtmpWD5RaRiDWWsdNGaMR3XT0bma_Nng=='}"
22-06-2023_14:14:40:564016,54.182.198.104,20.92272100003356,"['128.178.122.1', '10.0.2.168', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '*', '130.59.38.193', '83.97.88.153', '62.40.98.239', '62.40.98.106', '62.40.98.64', '195.66.225.175', '*', '*', '*', '*', '*', '*', '*', '54.182.198.104']","['128.178.122.1', '10.0.2.168', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '*', '130.59.38.193', '83.97.88.153', '62.40.98.239', '62.40.98.106', '62.40.98.64', '195.66.225.175', '*', '*', '*', '*', '*', '*', '*', '54.182.198.104']",23,text/html,915,keep-alive,"Thu, 22 Jun 2023 12:14:40 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 d8285af4aa0d0ce6b2347cda46b31464.cloudfront.net (CloudFront),LHR4-M1,ojY93mXyZFDpudyG0VX4GBJLgC6U86GN4ZTfPESzXWarMXDWWlsRTw==, ,https://a250avoddashs3ww-a.akamaihd.net/d/2$PwNa-XsZ-5YPhP-QSsj0XQf0cPs~/ondemand/ww_dub/7507/6702/e623/4c5f-8a9b-53b531119058/aa6019ed-bb09-44ce-a82c-5210ab9590d4_video_9.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Thu, 22 Jun 2023 12:14:40 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 d8285af4aa0d0ce6b2347cda46b31464.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'LHR4-M1', 'X-Amz-Cf-Id': 'ojY93mXyZFDpudyG0VX4GBJLgC6U86GN4ZTfPESzXWarMXDWWlsRTw=='}"
