timestamp(dd-mm-yyyy hh:mm:ss:ms),responseIP,latency(ms),traceroute_ips,traceroute_hnames,hop count,Content-Type,Content-Length,Connection,Date,Last-Modified,ETag,x-amz-storage-class,x-amz-server-side-encryption,x-amz-meta-dv-checksum-sha-1,x-amz-meta-dv-checksum-md5,x-amz-meta-dv-checksum-sha-256,Accept-Ranges,Server,X-Server-IP,X-Server-IP_hops,X-Server-IP_hnames,X-Server-IP_hopcount,X-Cache,Via,X-Amz-Cf-Pop,X-Amz-Cf-Id,Age,url,info,reasponseHeaders
22-06-2023_22:43:10:694695,18.66.196.124,42.407989501953125," "," "," ",video/mp4,34082855,keep-alive,"Thu, 22 Jun 2023 20:43:11 GMT","Thu, 22 Jun 2023 19:56:09 GMT","""8ac8aa3c5414053de61f649fe776b0db-3"""," ",AES256," "," "," ",bytes,AmazonS3," "," "," "," ",RefreshHit from cloudfront,1.1 b50b0f4274b74414c7dcdb544e6090a2.cloudfront.net (CloudFront),ZRH55-P1,km_LtPMGxV12vvxvgYAsx4jAKkCjeWK8vA3mfkFl_b__HlOJD9xghg==," ",https://dm6nckdz08do7.cloudfront.net/myvideo-milan.mp4,my content hosted on CloudFront,"{'Content-Type': 'video/mp4', 'Content-Length': '34082855', 'Connection': 'keep-alive', 'Last-Modified': 'Thu, 22 Jun 2023 19:56:09 GMT', 'x-amz-server-side-encryption': 'AES256', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'Date': 'Thu, 22 Jun 2023 20:43:11 GMT', 'ETag': '""8ac8aa3c5414053de61f649fe776b0db-3""', 'Vary': 'Accept-Encoding', 'X-Cache': 'RefreshHit from cloudfront', 'Via': '1.1 b50b0f4274b74414c7dcdb544e6090a2.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'km_LtPMGxV12vvxvgYAsx4jAKkCjeWK8vA3mfkFl_b__HlOJD9xghg=='}"
22-06-2023_22:43:13:897187,18.66.196.124,22.004127502441406," "," "," ",video/mp4,34082855,keep-alive,"Thu, 22 Jun 2023 20:43:15 GMT","Thu, 22 Jun 2023 19:56:09 GMT","""8ac8aa3c5414053de61f649fe776b0db-3"""," ",AES256," "," "," ",bytes,AmazonS3," "," "," "," ",RefreshHit from cloudfront,1.1 841da31399fe7f7e7065c840a22fae0a.cloudfront.net (CloudFront),ZRH55-P1,P2xzQVmDWeX5CSf06ZnptAm_31T_fhkzPMwMdnTv1v7VZQj7VbvY4g==," ",https://dm6nckdz08do7.cloudfront.net/myvideo-milan.mp4,my content hosted on CloudFront,"{'Content-Type': 'video/mp4', 'Content-Length': '34082855', 'Connection': 'keep-alive', 'Last-Modified': 'Thu, 22 Jun 2023 19:56:09 GMT', 'x-amz-server-side-encryption': 'AES256', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'Date': 'Thu, 22 Jun 2023 20:43:15 GMT', 'ETag': '""8ac8aa3c5414053de61f649fe776b0db-3""', 'Vary': 'Accept-Encoding', 'X-Cache': 'RefreshHit from cloudfront', 'Via': '1.1 841da31399fe7f7e7065c840a22fae0a.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'P2xzQVmDWeX5CSf06ZnptAm_31T_fhkzPMwMdnTv1v7VZQj7VbvY4g=='}"
22-06-2023_22:43:17:131294,18.66.196.124,20.102739334106445," "," "," ",video/mp4,34082855,keep-alive,"Thu, 22 Jun 2023 20:43:18 GMT","Thu, 22 Jun 2023 19:56:09 GMT","""8ac8aa3c5414053de61f649fe776b0db-3"""," ",AES256," "," "," ",bytes,AmazonS3," "," "," "," ",RefreshHit from cloudfront,1.1 b03c46754456cd1729ff37c2faafd4ec.cloudfront.net (CloudFront),ZRH55-P1,IyquEs56BC4luHy5LtVBPy7Bb_nhoJna80T0euC4sPVrxK1_Xt8bCg==," ",https://dm6nckdz08do7.cloudfront.net/myvideo-milan.mp4,my content hosted on CloudFront,"{'Content-Type': 'video/mp4', 'Content-Length': '34082855', 'Connection': 'keep-alive', 'Last-Modified': 'Thu, 22 Jun 2023 19:56:09 GMT', 'x-amz-server-side-encryption': 'AES256', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'Date': 'Thu, 22 Jun 2023 20:43:18 GMT', 'ETag': '""8ac8aa3c5414053de61f649fe776b0db-3""', 'Vary': 'Accept-Encoding', 'X-Cache': 'RefreshHit from cloudfront', 'Via': '1.1 b03c46754456cd1729ff37c2faafd4ec.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'IyquEs56BC4luHy5LtVBPy7Bb_nhoJna80T0euC4sPVrxK1_Xt8bCg=='}"
22-06-2023_22:43:20:322958,18.66.196.124,39.98994827270508," "," "," ",video/mp4,34082855,keep-alive,"Thu, 22 Jun 2023 20:43:21 GMT","Thu, 22 Jun 2023 19:56:09 GMT","""8ac8aa3c5414053de61f649fe776b0db-3"""," ",AES256," "," "," ",bytes,AmazonS3," "," "," "," ",RefreshHit from cloudfront,1.1 c7311454ce938e04f3523616a5b033da.cloudfront.net (CloudFront),ZRH55-P1,gj05Mv_KKzZHN3LGa74tmQJ6Ghww0fzghYaAupJZgsW3njYfqbPU8w==," ",https://dm6nckdz08do7.cloudfront.net/myvideo-milan.mp4,my content hosted on CloudFront,"{'Content-Type': 'video/mp4', 'Content-Length': '34082855', 'Connection': 'keep-alive', 'Last-Modified': 'Thu, 22 Jun 2023 19:56:09 GMT', 'x-amz-server-side-encryption': 'AES256', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'Date': 'Thu, 22 Jun 2023 20:43:21 GMT', 'ETag': '""8ac8aa3c5414053de61f649fe776b0db-3""', 'Vary': 'Accept-Encoding', 'X-Cache': 'RefreshHit from cloudfront', 'Via': '1.1 c7311454ce938e04f3523616a5b033da.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'gj05Mv_KKzZHN3LGa74tmQJ6Ghww0fzghYaAupJZgsW3njYfqbPU8w=='}"
22-06-2023_22:43:23:526063,18.66.196.124,24.391889572143555," "," "," ",video/mp4,34082855,keep-alive,"Thu, 22 Jun 2023 20:43:24 GMT","Thu, 22 Jun 2023 19:56:09 GMT","""8ac8aa3c5414053de61f649fe776b0db-3"""," ",AES256," "," "," ",bytes,AmazonS3," "," "," "," ",RefreshHit from cloudfront,1.1 9c0ce977a13f3d9bbc6eed6540faf728.cloudfront.net (CloudFront),ZRH55-P1,TZ7jyExzgfGI45q8vUEKV2HGoqq5ss2odT_m2UWtmcti_2GAlM1zGQ==," ",https://dm6nckdz08do7.cloudfront.net/myvideo-milan.mp4,my content hosted on CloudFront,"{'Content-Type': 'video/mp4', 'Content-Length': '34082855', 'Connection': 'keep-alive', 'Last-Modified': 'Thu, 22 Jun 2023 19:56:09 GMT', 'x-amz-server-side-encryption': 'AES256', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'Date': 'Thu, 22 Jun 2023 20:43:24 GMT', 'ETag': '""8ac8aa3c5414053de61f649fe776b0db-3""', 'Vary': 'Accept-Encoding', 'X-Cache': 'RefreshHit from cloudfront', 'Via': '1.1 9c0ce977a13f3d9bbc6eed6540faf728.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'TZ7jyExzgfGI45q8vUEKV2HGoqq5ss2odT_m2UWtmcti_2GAlM1zGQ=='}"
22-06-2023_22:43:26:720187,18.66.196.124,22.753000259399414," "," "," ",video/mp4,34082855,keep-alive,"Thu, 22 Jun 2023 20:43:27 GMT","Thu, 22 Jun 2023 19:56:09 GMT","""8ac8aa3c5414053de61f649fe776b0db-3"""," ",AES256," "," "," ",bytes,AmazonS3," "," "," "," ",RefreshHit from cloudfront,1.1 4aab94d467900146bd910265f6087b8e.cloudfront.net (CloudFront),ZRH55-P1,GznjPtEFrve-Xii3U6lNeK9vZrw0AXdEl6_s5qfXx-6rip9WeE_nEw==," ",https://dm6nckdz08do7.cloudfront.net/myvideo-milan.mp4,my content hosted on CloudFront,"{'Content-Type': 'video/mp4', 'Content-Length': '34082855', 'Connection': 'keep-alive', 'Last-Modified': 'Thu, 22 Jun 2023 19:56:09 GMT', 'x-amz-server-side-encryption': 'AES256', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'Date': 'Thu, 22 Jun 2023 20:43:27 GMT', 'ETag': '""8ac8aa3c5414053de61f649fe776b0db-3""', 'Vary': 'Accept-Encoding', 'X-Cache': 'RefreshHit from cloudfront', 'Via': '1.1 4aab94d467900146bd910265f6087b8e.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'GznjPtEFrve-Xii3U6lNeK9vZrw0AXdEl6_s5qfXx-6rip9WeE_nEw=='}"
22-06-2023_22:43:29:911541,18.66.196.124,34.777164459228516," "," "," ",video/mp4,34082855,keep-alive,"Thu, 22 Jun 2023 20:43:31 GMT","Thu, 22 Jun 2023 19:56:09 GMT","""8ac8aa3c5414053de61f649fe776b0db-3"""," ",AES256," "," "," ",bytes,AmazonS3," "," "," "," ",RefreshHit from cloudfront,1.1 3c2af29a416fc74eb3d104df3f808fdc.cloudfront.net (CloudFront),ZRH55-P1,c21gJv4-yZxNP9xaCdwbxeOkp5iYn8zwDAx8ZzQUosiC40nZpwfQ6Q==," ",https://dm6nckdz08do7.cloudfront.net/myvideo-milan.mp4,my content hosted on CloudFront,"{'Content-Type': 'video/mp4', 'Content-Length': '34082855', 'Connection': 'keep-alive', 'Last-Modified': 'Thu, 22 Jun 2023 19:56:09 GMT', 'x-amz-server-side-encryption': 'AES256', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'Date': 'Thu, 22 Jun 2023 20:43:31 GMT', 'ETag': '""8ac8aa3c5414053de61f649fe776b0db-3""', 'Vary': 'Accept-Encoding', 'X-Cache': 'RefreshHit from cloudfront', 'Via': '1.1 3c2af29a416fc74eb3d104df3f808fdc.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'c21gJv4-yZxNP9xaCdwbxeOkp5iYn8zwDAx8ZzQUosiC40nZpwfQ6Q=='}"
22-06-2023_22:43:33:120693,18.66.196.124,33.963918685913086," "," "," ",video/mp4,34082855,keep-alive,"Thu, 22 Jun 2023 20:43:34 GMT","Thu, 22 Jun 2023 19:56:09 GMT","""8ac8aa3c5414053de61f649fe776b0db-3"""," ",AES256," "," "," ",bytes,AmazonS3," "," "," "," ",RefreshHit from cloudfront,1.1 179ba4c3ce59451c080c2ed7517bcb96.cloudfront.net (CloudFront),ZRH55-P1,t4XzIrNVQ7msxyA8FMhx3LIBdlrfNXBQnbAfKr4pj_NaKWW1zqiBJw==," ",https://dm6nckdz08do7.cloudfront.net/myvideo-milan.mp4,my content hosted on CloudFront,"{'Content-Type': 'video/mp4', 'Content-Length': '34082855', 'Connection': 'keep-alive', 'Last-Modified': 'Thu, 22 Jun 2023 19:56:09 GMT', 'x-amz-server-side-encryption': 'AES256', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'Date': 'Thu, 22 Jun 2023 20:43:34 GMT', 'ETag': '""8ac8aa3c5414053de61f649fe776b0db-3""', 'Vary': 'Accept-Encoding', 'X-Cache': 'RefreshHit from cloudfront', 'Via': '1.1 179ba4c3ce59451c080c2ed7517bcb96.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 't4XzIrNVQ7msxyA8FMhx3LIBdlrfNXBQnbAfKr4pj_NaKWW1zqiBJw=='}"
22-06-2023_22:43:36:322409,18.66.196.124,24.383068084716797," "," "," ",video/mp4,34082855,keep-alive,"Thu, 22 Jun 2023 20:43:37 GMT","Thu, 22 Jun 2023 19:56:09 GMT","""8ac8aa3c5414053de61f649fe776b0db-3"""," ",AES256," "," "," ",bytes,AmazonS3," "," "," "," ",RefreshHit from cloudfront,1.1 fec5e83bcae9ab1295b776b3f64183d0.cloudfront.net (CloudFront),ZRH55-P1,y78_EGIf_ufmrqImHm5yqzHsWGfgZVYnld6DdWaY-FOG5x0X3xb8Vg==," ",https://dm6nckdz08do7.cloudfront.net/myvideo-milan.mp4,my content hosted on CloudFront,"{'Content-Type': 'video/mp4', 'Content-Length': '34082855', 'Connection': 'keep-alive', 'Last-Modified': 'Thu, 22 Jun 2023 19:56:09 GMT', 'x-amz-server-side-encryption': 'AES256', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'Date': 'Thu, 22 Jun 2023 20:43:37 GMT', 'ETag': '""8ac8aa3c5414053de61f649fe776b0db-3""', 'Vary': 'Accept-Encoding', 'X-Cache': 'RefreshHit from cloudfront', 'Via': '1.1 fec5e83bcae9ab1295b776b3f64183d0.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'y78_EGIf_ufmrqImHm5yqzHsWGfgZVYnld6DdWaY-FOG5x0X3xb8Vg=='}"
22-06-2023_22:43:39:532315,18.66.196.124,20.711898803710938," "," "," ",video/mp4,34082855,keep-alive,"Thu, 22 Jun 2023 20:43:40 GMT","Thu, 22 Jun 2023 19:56:09 GMT","""8ac8aa3c5414053de61f649fe776b0db-3"""," ",AES256," "," "," ",bytes,AmazonS3," "," "," "," ",RefreshHit from cloudfront,1.1 f6d3d027dc70c7291c2f685efb187ab2.cloudfront.net (CloudFront),ZRH55-P1,2EvmP_IOZag_g1AnENvgWw9ITOXAyU_0vwJRpmqQ_gtqsASm5Wf45Q==," ",https://dm6nckdz08do7.cloudfront.net/myvideo-milan.mp4,my content hosted on CloudFront,"{'Content-Type': 'video/mp4', 'Content-Length': '34082855', 'Connection': 'keep-alive', 'Last-Modified': 'Thu, 22 Jun 2023 19:56:09 GMT', 'x-amz-server-side-encryption': 'AES256', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'Date': 'Thu, 22 Jun 2023 20:43:40 GMT', 'ETag': '""8ac8aa3c5414053de61f649fe776b0db-3""', 'Vary': 'Accept-Encoding', 'X-Cache': 'RefreshHit from cloudfront', 'Via': '1.1 f6d3d027dc70c7291c2f685efb187ab2.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': '2EvmP_IOZag_g1AnENvgWw9ITOXAyU_0vwJRpmqQ_gtqsASm5Wf45Q=='}"
22-06-2023_22:43:42:730986,18.66.196.124,36.1180305480957," "," "," ",video/mp4,34082855,keep-alive,"Thu, 22 Jun 2023 20:43:43 GMT","Thu, 22 Jun 2023 19:56:09 GMT","""8ac8aa3c5414053de61f649fe776b0db-3"""," ",AES256," "," "," ",bytes,AmazonS3," "," "," "," ",RefreshHit from cloudfront,1.1 fec5e83bcae9ab1295b776b3f64183d0.cloudfront.net (CloudFront),ZRH55-P1,JjmYhVYUtzNzZb4lF_1DjKt8yJBdBvbfP-QPgYn2HEPImw7C80kw9w==," ",https://dm6nckdz08do7.cloudfront.net/myvideo-milan.mp4,my content hosted on CloudFront,"{'Content-Type': 'video/mp4', 'Content-Length': '34082855', 'Connection': 'keep-alive', 'Last-Modified': 'Thu, 22 Jun 2023 19:56:09 GMT', 'x-amz-server-side-encryption': 'AES256', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'Date': 'Thu, 22 Jun 2023 20:43:43 GMT', 'ETag': '""8ac8aa3c5414053de61f649fe776b0db-3""', 'Vary': 'Accept-Encoding', 'X-Cache': 'RefreshHit from cloudfront', 'Via': '1.1 fec5e83bcae9ab1295b776b3f64183d0.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'JjmYhVYUtzNzZb4lF_1DjKt8yJBdBvbfP-QPgYn2HEPImw7C80kw9w=='}"
22-06-2023_22:43:45:926589,18.66.196.124,42.407989501953125," "," "," ",video/mp4,34082855,keep-alive,"Thu, 22 Jun 2023 20:43:47 GMT","Thu, 22 Jun 2023 19:56:09 GMT","""8ac8aa3c5414053de61f649fe776b0db-3"""," ",AES256," "," "," ",bytes,AmazonS3," "," "," "," ",RefreshHit from cloudfront,1.1 a9717fb92179a05f5da85fabc586e750.cloudfront.net (CloudFront),ZRH55-P1,n9RCaAly70yo4RU7TzQmxJVrJavB6jUPNFzuVs6S_dqmpihqmChTAA==," ",https://dm6nckdz08do7.cloudfront.net/myvideo-milan.mp4,my content hosted on CloudFront,"{'Content-Type': 'video/mp4', 'Content-Length': '34082855', 'Connection': 'keep-alive', 'Last-Modified': 'Thu, 22 Jun 2023 19:56:09 GMT', 'x-amz-server-side-encryption': 'AES256', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'Date': 'Thu, 22 Jun 2023 20:43:47 GMT', 'ETag': '""8ac8aa3c5414053de61f649fe776b0db-3""', 'Vary': 'Accept-Encoding', 'X-Cache': 'RefreshHit from cloudfront', 'Via': '1.1 a9717fb92179a05f5da85fabc586e750.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'n9RCaAly70yo4RU7TzQmxJVrJavB6jUPNFzuVs6S_dqmpihqmChTAA=='}"
22-06-2023_22:43:49:115834,18.66.196.124,24.35469627380371," "," "," ",video/mp4,34082855,keep-alive,"Thu, 22 Jun 2023 20:43:50 GMT","Thu, 22 Jun 2023 19:56:09 GMT","""8ac8aa3c5414053de61f649fe776b0db-3"""," ",AES256," "," "," ",bytes,AmazonS3," "," "," "," ",RefreshHit from cloudfront,1.1 9defe0d67603d45217a1199d0f877384.cloudfront.net (CloudFront),ZRH55-P1,wyTF0fVBUsB5edB8IuSF2RIiXxF6DdaMWSoj2jQTprGSHJ22xaMpZQ==," ",https://dm6nckdz08do7.cloudfront.net/myvideo-milan.mp4,my content hosted on CloudFront,"{'Content-Type': 'video/mp4', 'Content-Length': '34082855', 'Connection': 'keep-alive', 'Last-Modified': 'Thu, 22 Jun 2023 19:56:09 GMT', 'x-amz-server-side-encryption': 'AES256', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'Date': 'Thu, 22 Jun 2023 20:43:50 GMT', 'ETag': '""8ac8aa3c5414053de61f649fe776b0db-3""', 'Vary': 'Accept-Encoding', 'X-Cache': 'RefreshHit from cloudfront', 'Via': '1.1 9defe0d67603d45217a1199d0f877384.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'wyTF0fVBUsB5edB8IuSF2RIiXxF6DdaMWSoj2jQTprGSHJ22xaMpZQ=='}"
22-06-2023_22:43:52:320430,18.66.196.124,24.369001388549805," "," "," ",video/mp4,34082855,keep-alive,"Thu, 22 Jun 2023 20:43:53 GMT","Thu, 22 Jun 2023 19:56:09 GMT","""8ac8aa3c5414053de61f649fe776b0db-3"""," ",AES256," "," "," ",bytes,AmazonS3," "," "," "," ",RefreshHit from cloudfront,1.1 ff571229df9f46b01b0e434bcb36f9e6.cloudfront.net (CloudFront),ZRH55-P1,7I4bnhNGL6tDCI3A95ux4ZZsUdZYxojDtZFunp_ngjgYmT8gEtgHew==," ",https://dm6nckdz08do7.cloudfront.net/myvideo-milan.mp4,my content hosted on CloudFront,"{'Content-Type': 'video/mp4', 'Content-Length': '34082855', 'Connection': 'keep-alive', 'Last-Modified': 'Thu, 22 Jun 2023 19:56:09 GMT', 'x-amz-server-side-encryption': 'AES256', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'Date': 'Thu, 22 Jun 2023 20:43:53 GMT', 'ETag': '""8ac8aa3c5414053de61f649fe776b0db-3""', 'Vary': 'Accept-Encoding', 'X-Cache': 'RefreshHit from cloudfront', 'Via': '1.1 ff571229df9f46b01b0e434bcb36f9e6.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': '7I4bnhNGL6tDCI3A95ux4ZZsUdZYxojDtZFunp_ngjgYmT8gEtgHew=='}"
22-06-2023_22:43:55:510502,18.66.196.124,36.43965721130371," "," "," ",video/mp4,34082855,keep-alive,"Thu, 22 Jun 2023 20:43:56 GMT","Thu, 22 Jun 2023 19:56:09 GMT","""8ac8aa3c5414053de61f649fe776b0db-3"""," ",AES256," "," "," ",bytes,AmazonS3," "," "," "," ",RefreshHit from cloudfront,1.1 633b37c269943f0b3472e0abe1a07b2c.cloudfront.net (CloudFront),ZRH55-P1,CZkQsjvKT6J9IOv5TMajNLbv4_WuW_VlYqpr4Ilc1gALl27xNaQf4w==," ",https://dm6nckdz08do7.cloudfront.net/myvideo-milan.mp4,my content hosted on CloudFront,"{'Content-Type': 'video/mp4', 'Content-Length': '34082855', 'Connection': 'keep-alive', 'Last-Modified': 'Thu, 22 Jun 2023 19:56:09 GMT', 'x-amz-server-side-encryption': 'AES256', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'Date': 'Thu, 22 Jun 2023 20:43:56 GMT', 'ETag': '""8ac8aa3c5414053de61f649fe776b0db-3""', 'Vary': 'Accept-Encoding', 'X-Cache': 'RefreshHit from cloudfront', 'Via': '1.1 633b37c269943f0b3472e0abe1a07b2c.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'CZkQsjvKT6J9IOv5TMajNLbv4_WuW_VlYqpr4Ilc1gALl27xNaQf4w=='}"
22-06-2023_22:43:58:727518,18.66.196.124,26.57604217529297," "," "," ",video/mp4,34082855,keep-alive,"Thu, 22 Jun 2023 20:43:59 GMT","Thu, 22 Jun 2023 19:56:09 GMT","""8ac8aa3c5414053de61f649fe776b0db-3"""," ",AES256," "," "," ",bytes,AmazonS3," "," "," "," ",RefreshHit from cloudfront,1.1 841da31399fe7f7e7065c840a22fae0a.cloudfront.net (CloudFront),ZRH55-P1,LRaO9X4F9lbGT1Zspt916urfIDGhDLz8FrO3cFFaxEnbT_U_hUnQqg==," ",https://dm6nckdz08do7.cloudfront.net/myvideo-milan.mp4,my content hosted on CloudFront,"{'Content-Type': 'video/mp4', 'Content-Length': '34082855', 'Connection': 'keep-alive', 'Last-Modified': 'Thu, 22 Jun 2023 19:56:09 GMT', 'x-amz-server-side-encryption': 'AES256', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'Date': 'Thu, 22 Jun 2023 20:43:59 GMT', 'ETag': '""8ac8aa3c5414053de61f649fe776b0db-3""', 'Vary': 'Accept-Encoding', 'X-Cache': 'RefreshHit from cloudfront', 'Via': '1.1 841da31399fe7f7e7065c840a22fae0a.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'LRaO9X4F9lbGT1Zspt916urfIDGhDLz8FrO3cFFaxEnbT_U_hUnQqg=='}"
22-06-2023_22:44:01:928045,18.66.196.124,24.298906326293945," "," "," ",video/mp4,34082855,keep-alive,"Thu, 22 Jun 2023 20:44:03 GMT","Thu, 22 Jun 2023 19:56:09 GMT","""8ac8aa3c5414053de61f649fe776b0db-3"""," ",AES256," "," "," ",bytes,AmazonS3," "," "," "," ",RefreshHit from cloudfront,1.1 df9ce120cad525bdb160f75cd7b807c2.cloudfront.net (CloudFront),ZRH55-P1,qXR3WwPWljB8L9v6FrRS_6skhr2NXQfNPPy6i2Zlc4ypDS6sKQv_ng==," ",https://dm6nckdz08do7.cloudfront.net/myvideo-milan.mp4,my content hosted on CloudFront,"{'Content-Type': 'video/mp4', 'Content-Length': '34082855', 'Connection': 'keep-alive', 'Last-Modified': 'Thu, 22 Jun 2023 19:56:09 GMT', 'x-amz-server-side-encryption': 'AES256', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'Date': 'Thu, 22 Jun 2023 20:44:03 GMT', 'ETag': '""8ac8aa3c5414053de61f649fe776b0db-3""', 'Vary': 'Accept-Encoding', 'X-Cache': 'RefreshHit from cloudfront', 'Via': '1.1 df9ce120cad525bdb160f75cd7b807c2.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'qXR3WwPWljB8L9v6FrRS_6skhr2NXQfNPPy6i2Zlc4ypDS6sKQv_ng=='}"
22-06-2023_22:44:05:138845,18.66.196.124,41.03207588195801," "," "," ",video/mp4,34082855,keep-alive,"Thu, 22 Jun 2023 20:44:06 GMT","Thu, 22 Jun 2023 19:56:09 GMT","""8ac8aa3c5414053de61f649fe776b0db-3"""," ",AES256," "," "," ",bytes,AmazonS3," "," "," "," ",RefreshHit from cloudfront,1.1 b50b0f4274b74414c7dcdb544e6090a2.cloudfront.net (CloudFront),ZRH55-P1,3XOnsBmGbyCQbOM_SN87A6JSrg9Dnr4OHUwdk7JL1q361ij5h9TI3Q==," ",https://dm6nckdz08do7.cloudfront.net/myvideo-milan.mp4,my content hosted on CloudFront,"{'Content-Type': 'video/mp4', 'Content-Length': '34082855', 'Connection': 'keep-alive', 'Last-Modified': 'Thu, 22 Jun 2023 19:56:09 GMT', 'x-amz-server-side-encryption': 'AES256', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'Date': 'Thu, 22 Jun 2023 20:44:06 GMT', 'ETag': '""8ac8aa3c5414053de61f649fe776b0db-3""', 'Vary': 'Accept-Encoding', 'X-Cache': 'RefreshHit from cloudfront', 'Via': '1.1 b50b0f4274b74414c7dcdb544e6090a2.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': '3XOnsBmGbyCQbOM_SN87A6JSrg9Dnr4OHUwdk7JL1q361ij5h9TI3Q=='}"
22-06-2023_22:44:08:337030,18.66.196.124,36.42702102661133," "," "," ",video/mp4,34082855,keep-alive,"Thu, 22 Jun 2023 20:44:09 GMT","Thu, 22 Jun 2023 19:56:09 GMT","""8ac8aa3c5414053de61f649fe776b0db-3"""," ",AES256," "," "," ",bytes,AmazonS3," "," "," "," ",RefreshHit from cloudfront,1.1 478446fb4d72a1fd99b9a7a5157265f4.cloudfront.net (CloudFront),ZRH55-P1,O8tC497lY3tPxbxGxC9AR4ZVhdTj3TB5g3XcNnng0ThkWqCaLnmbog==," ",https://dm6nckdz08do7.cloudfront.net/myvideo-milan.mp4,my content hosted on CloudFront,"{'Content-Type': 'video/mp4', 'Content-Length': '34082855', 'Connection': 'keep-alive', 'Last-Modified': 'Thu, 22 Jun 2023 19:56:09 GMT', 'x-amz-server-side-encryption': 'AES256', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'Date': 'Thu, 22 Jun 2023 20:44:09 GMT', 'ETag': '""8ac8aa3c5414053de61f649fe776b0db-3""', 'Vary': 'Accept-Encoding', 'X-Cache': 'RefreshHit from cloudfront', 'Via': '1.1 478446fb4d72a1fd99b9a7a5157265f4.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'O8tC497lY3tPxbxGxC9AR4ZVhdTj3TB5g3XcNnng0ThkWqCaLnmbog=='}"
